de,dsb
Die Zerrissenheit ist spürbar.,Zezrywanosć jo cuśniwa.
Deshalb bin ich enttäuscht.,Togodla som wobtužny.
Der heilige Simon mit der Säge wird als Patron der Waldarbeiter verehrt.,Swěty Syman z piłu pócesćujo se ako patron lěsnych źěłaśerjow.
Für den Schusterhof in Trebendorf entsteht derzeit ein Memory-Spiel.,Za Šusterec dwór w Trjebinje nastawa tuchylu memorygra.
Unsere Gesellschaft hat mehrere Jahrhunderte lang gelernt.,Naša towarišnosć jo někotare stolěśa wuknuła.
Ich bin das Irrlicht und will dir die Vergangenheit der Sorben erläutern.,Ja som błudnica a com śi zachadnosć Serbow wujasniś.
 bei Beschränkung auf Krankenkraftwagen: 19 Jahre, pśi dowólnosći jano za chórobne wóze: 19 lět
Heute folglich gehören 32 Dörfer um Bautzen herum zur Gemeinde.,Źinsa słuša  pótakem 32 jsow wokoło Budyšyna k wósaźe.
Sie sangen in der Osternacht oder auf Gebetsabenden.,Wóni su spiwali w jatšownej nocy abo na pustych wjacorkach.
Im Allgemeinen wird zwischen Obstbaum- und Laubbaumalleen unterschieden.,Powšyknje rozeznawa se mjazy alejami ze sadowymi a listowymi bomami.
Lehrer haben das Material im Auftrag des ABC entwickelt.,Wucabniki su material w nadawku ABC wuwijali.
Der größte Teil der mittelständischen Betriebe ist in ländlichen Gebieten angesiedelt.,Nejwětšy źěl srjejźnych pśedewześow jo we wejsnych stronach zasedlony.
Der Teufel und die Hexe wollten nicht die Sorgen mit allen teilen. ,"Cartoju a chódośe njejo se kśěło, starosći ze wšymi źěliś."
Die Schleifer Gemeinderatsmitglieder einigten sich auf den genannten Grundsatzbeschluss.,Slěpjańske gmejnske raźce su se dojadnali na pómjenjone zakładne wobzamknjenje.
"Kretschmer verteidigte das Ergebnis der Kommission für Wachstum, Strukturwandel und Beschäftigung.","Kretschmer zašćitowašo wuslědk komisije za rosćenje, strukturnu změnu a źěło."
In der Domowina-Hauptversammlung sollen neue Richtlinien diskutiert werden.,Na głownej zgromaźinje Domowiny maju se nowe źěłowe směrnice diskutěrowaś.
Wie kann das touristische Angebot erweitert und verbessert werden?,Kak mógu se  turistiske póbitowanja rozšyriś a pólěpšyś?
Im Mai 1945 endet der 2. Weltkrieg.,W maju 1945 zakóńcyjo se 2. swětowa wójna.
Er verweist zugleich auf die europäischen Dimensionen.,Wón pokazujo rownocasnje na europske dimensije.
Monatelang hat sich die große Koalition über die Energiepolitik gestritten.,Mjasece dłujko jo se wjelika koalicijagrakała  wó energijowej politice.
Die Domowina-Führung schweigt aber und der Bundesvorstand lehnt jedes Gespräch ab.,Wjednistwo Domowiny pak mjelcy a zwězkowe pśedsedaŕstwo kužde rozgrono wótpokazujo.
 Sie müssen beispielsweise melden:, K takim pśeměnjenjam słušaju mjazy drugim:
Uns zeigte er einen Teil seiner umfassenden Sammlung.,Nam pokazujo wón jaden źěl swójeje wobšyrneje zběrki.
"Ich freue mich, die sorbischen Akteure der Einrichtung kennenzulernen.","Wjaselim se, serbskich akterow institucije zeznaś."
So stellte Dr. Lubina Mahling den Anwesenden die soziale Gesinnung Zinzendorfs vor.,Tak pśedstajijo dr. Lubina Malinkowa pśibytnym socialnu zmyslonosć pśedstajiła Zinzendorfa.
"Wenn du vier Stunden sendest, brauchst du mehr Musik zur Auswahl.","Gaž styri góźiny wusćełaš, trjebaš teke wěcej muziki na wuběranje."
Vermittlung und Pflege sorbischer Kultur ist der wichtigste Bestandteil unserer Philosophie.,Pósrědnjenje a woplěwanje serbskeje kultury jo nejwažnjejšy wobstatk našeje filozofije.
•  die Angabe des sachlichen Tätigkeitsbereiches,•  wěcowna wopowěsć wót źěłabnosći
"Er wirkte weiter, auch über die Grenzen Deutschlands und Europas hinaus.","Wón jo statkował dalej, teke za granicami Nimskeje a Europy."
Deshalb sollte sich unsere Jugend das „Verlassene Haus“ anschauen.,Togodla dejała sebje naša młoźina „Wopušćeny dom“ woglědaś.
Eine erste Stunde gesprochener Sätze ist inzwischen aufgenommen und überprüft.,Prědna góźina nacerjonych sadow jo mjaztym nagrawana a pśespytowana.
Die neue Schau ist sozusagen ein Kompromiss zwischen der ständigen und der Dauerausstellung.,Nowa pśeglědka jo rozmjej kompromis mjazy stawneju a trajuceju ekspoziciju.
Eine gute Arbeitsgrundlage sieht anders aus.,Dobry źěłowy zakład hynacej wuglěda.
10  Euro: Geburtsurkunde,"10,00 euro: narodne wopismo"
Der Schornsteinfeger schiebt die Kugel und die Bürste in die Kaminöffnung. ,Cazaŕ sunjo kulu a gwězdu do źěry wugnja. 
Dort stellten sie eine breite Palette an sorbischer Kultur vor.,Tam su pśedstajili šyroku paletu serbskeje kultury.
Zwei Wochen später hat dieselbe Behörde den dänischen Zusatz erlaubt.,Dwa tyźenja pózdźej jo to samske zastojnstwo dański pśidank dowólił.
Betulin ist wetterfest – kein Tropfen durchdringt es.,Betulin jo do wjedra kšuty  – žedna chrapka se wót njogo njepśemóžo.
INformationen zur Eintragung in das Wählerverzeichnis zur Bürgermeisterwahl,Informacije k zapisanju do wuzwólowaŕskego zapisa pśi góźbje  wuzwólowanja šołty
Das ist ziemlich viel.,To jo bejnje wjele.
Das durften wir dann an unseren Mitschülern ausprobieren. ,To smy směli pótom na swójich sobuwuknikach wopytaś. 
Sie kann mit den restlichen 700 Einwohnern auf lange Sicht nicht existieren.,Wóna njamóžo ze zbytnymi 700 wobydlarjami dłujkodobnje eksistěrowaś.
• EUR 102  für die Erteilung einer Berechtigung,• 102 euro za wuźělenje wopšawnjenja
Der Serbski sejm möchte ein gewisses dynamisches Kontinuum sein.,Serbski sejm co wěsty dynamiski kontinuum byś.
"• Telekommunikationsanschlüsse, ","• telekomunikaciske pśizamknjenja, "
§ 71 Absatz 2 Berufsbildungsgesetz (BBiG),§ 71 póstawk 2  kazni za pówołańske wuwucenje (BBiG)
Unsere Firma hat einen festen Stamm von Mitarbeitern.,Naša firma ma kšute stawne wobsajźenje  sobuźěłaśerjow.
Das hat der Kreistag gestern Abend beschlossen.,To jo wokrejsny sejmik cora wjacor wobzamknuł.
Das ist ein Honigsmoker.,Jo to mjodowy kaźeńc.
Gezielte Sprachförderung ist deine Aufgabe und nicht meine!,Zaměrne rěcne spěchowanje jo twój nadawk a nic mój!
Insgesamt will man 8000 Kubikmeter einlagern.,Dogromady kśě 8000 kubiknych metrow składowaś.
Wir wünschen allen gesegnete Pfingsten.,Žycymy wšyknym žognowane swětki.
Ihre Nutzung ist bisher nicht genehmigt.,Wužywanje njejo doněnta dowólone.
Voraussetzungen für die Eintragung in das Wählerverzeichnis ist sind:,Kriterije za zapisanje do wuzwólowaŕskego zapisa  su:
Vor Strukturänderungen ist die Betriebsleitung zu hören.,Pśed strukturnymi změnami ma se wjednistwo zawoda słyšaś.
Grundsätzlich möge jedoch die Zahl der gemeinsamen Ziele nicht zu hoch sein.,Zasadnje pak njeměła licba zgromadnych celow  pśewusoka byś.
Die Erzieherin berücksichtigt die individuelle Entwicklung der sorbischsprachigen Fähigkeiten der Kinder.,Wótkubłaŕka źiwa na indiwidualne wuwiśe serbskorěcnych znajobnosćow źiśi.
Entsprechend vielfältig ist die Kultur.,Wótpowědnje wjelebocna jo kultura.
"Ich bin der Riese, ich habe mehr als genug Kraft.","Ja som wjelikan, mam mócy dosć a nadosć."
"• den Namen, ","• mě, "
Die baden-württembergische Sorte der Spätzle esse ich am liebsten.,Baden-württembergsku družynu špeclow nejlubjej  jěm.
"Lasst uns das Europa gemeinsam schaffen: ein Europa der Menschen, der Völker und der Regionen.","Dajśo nas Europu zgromadnje twóriś: Europu luźi, narodow a regionow."
Die Premiere wird am 12. September sein.,Premjera buźo 12. septembra.
Das ist eine wiederbelebte Diskussion aus den 1990-er Jahren.,To jo wóžywjona diskusija z 1990-tych lět.
"Insbesondere auch Lehrer, Schauspieler, Logopäden und Sorbischlerner können davon profitieren.","Wósebnje teke wucabniki, pśědli, logopedy a serbšćinu wuknjece mógu profitěrowaś."
Seine große Zeit hatte er Anfang des letzten Jahrhunderts.,Swój wjeliki cas jo měł zachopjeńk slědnego lětstotka.
Schließlich auf der achten Stufe wird die „Selbstbestimmung“ praktiziert.,Skóńcnje na wósymem schójźeńku prakticěrujo se „samopóstajenje“.
Richard Müller vom Bautzener Unternehmen beendet hier die Arbeit am Unterbau.,Richard Müller z budyšyńskego pśedewześa docynijo how źěło na pódtwari.
Denn es zielt auf Einzelpersonen ab.,Wšako měri se wón na jadnotliwe wósoby.
Sie sollen für die Angelegenheiten der Bruderschaft opfern.,Wóni maju za nastupnosći bratšojstwa woprowaś.
Anerkennungsverfahrensgebühr: EUR 550  ,płaśonk za proceduru pśipóznaśa: 500 euro  
Alle sind gleichberechtigt und haben die gleichen Rechte.,Wšykne su rownopšawne a maju te samske pšawa.
Die Patenschaft hatte in diesem Jahr der Bautzener Landrat Michael Harig übernommen.,Kmótšojstwo jo lětosa Budyšyński krajny raźc Michael Harig pśewzeł.
Doch auch ihm will sie weiter treu bleiben.,Tola teke k jomu co wóna dalej zwěrna wóstaś.
"In Zukunft ist auch geplant, mit dem Jugendverein Pawk zusammenzuarbeiten.","Za pśichod jo teke planowane, z młoźinskem towaristwom Pawk gromaźe źěłaś."
"Flasbarth ist sich sicher, dass das noch vor Weihnachten gelingt.","Flasbarth jo sebje wěsty, až se to hyšći do gód póraźijo."
Agiert der Sejm nicht im Interesse der Sorben?,Njestatkujo sejm na dobro Serbow?
Vor dem ausgebrannten Hotel in Bautzen versammelten sich 250 Leute.,Pśed wupalonym hotelom w Budyšynje jo se  zgromaźiło 250 luźi.
Die sorbische Sprache sollte ein weiterer Aspekt der qualitativen Entwicklung unserer Region sein.,Serbšćina dejała byś dalšny aspekt kwalitatiwnego wuwiśa našogo regiona.
Wir brauchen nur die Heizung aufzudrehen.,Musymy jano topjenje wótwjertnuś.
Die Lausitz ändert sich.,Łužyca se změnja.
Das reichte ihnen aber nicht.,To pak jim dosegało njejo.
So können wir den See definitiv für die Nutzung freigeben.,Tak móžomy jazor definitiwnje za wužywanje pśepódaś.
Ein Kaninchen erblickt er bereits aus 300 Meter Entfernung.,Karnikla zawupytajo južo z 300 metrow zdalonosći.
Wir brauchen das Initiativrecht.,Trjebamy iniciatiwne pšawo.
Sulfatbelastetes Spreewasser wird dort mit Grundwasser gemischt.,Ze sulfatom póśěžkowanu wódu Sprjewje tam ze spódneju wódu měšaju.
Deshalb braucht die CDU/CSU in Bezug auf den Klimaschutz eine eigene Handschrift.,Togodla trjeba CDU/CSU nastupajucy klimowy šćit swójski rukopis.
Im Jahr zweitausend wurde die Bruderschaft zuletzt erneuert.,W lěśe dwa tysac bu bratšojstwo slědny raz wótnowjone.
Die Verantwortung für das Institut für Sorabistik in Leipzig trägt ein Mann.,Zagronitosć za Institut za sorabistiku lipšćańskeje uniwersity njaso muski.
"Es ist nicht leicht, weise damit umzugehen.","Njejo lažko, mudrje z tym wobchadaś."
Der Wissenschaftler gab Einblicke in die Erinnerungen der Schüler.,Wědomnostnik dajo doglěd do dopominanjow wuknikow.
Bautzen geht dabei regelmäßig leer aus.,Budyšyn  pśi tom pšawidłownje  wobejdu.
Auch die polnische Partnerstadt Żary hatte dasselbe Ziel geplant.,Teke pólske partnaŕske město Žarow jo měło samski zaměr planowany.
Das wollte der Gast wissen.,To jo kśěł gósć wěźeś.
"Es wäre gut, wenn sich eine Frau für dieses Amt melden würde.","Derje by było, by-li se žeńska za amt přizjewiła."
Das erste Mal dachte ich damals an die Berufung zum Pfarrer.,Prědny raz som tencas na pówołanosć za fararja myslił.
"Die Geschichte der Lausitz zeigt ständige Veränderungen, wie politische, sprachliche, religiöse.","Stawizny Łužycy pokazuju stawne změny, kaž politiske, rěcne, nabóžne."
Er sollte nicht nur Mitgliedern in bürokratischen Angelegenheiten helfen.,Wón njedejał jano cłonkom w běrokratiskich nastupnosćach pomagaś.
"Schwerpunkte des Dokuments sind klimafreundliche Energie, Wohnungen und Tourismus.","Śěžyšća dokumenta su klimje pśichylona energije, bydlenja a turizm."
Das unterstrich die Sozialdezernentin im Kreistag.,To jo pódšmarnuł socialna decernentka we wokrejsnym sejmiku.
"Über die Grenzen hinaus wird Bautzen zum zentralen, bürgerfreundlichen Verwaltungsstandort.","Granice pśesegajucy stanjo se Budyšyn z centralnym, wobydlarjam pśichylonym zastojnskim  stojnišćom."
"Sie waren sich einig, dass dafür mehr Personal benötigt wird.","Su sebje wobjadne, až trjebaju za to wěcej personala."
Auch sie werden in der Sendung vorgestellt.,Teke wóni se we wusćełanju pśedstajaju.
Do: 09:00 – 16:00 Uhr,stwórtk: zeger  00:00 do 16:00
"Wer weiß denn alles von dem Versteck, wollte er wissen.","Chto ga  wě wó tom schowje, jo kśěł wěźeś."
Das Brett nennt sich Mieder.,Tej delce groni se lac.
"Eine Erweiterung, Firefox, benötigt Container-Tabs.","Rozšyrjenje,  Firefox, se kontejnerowe rejtariki pomina."
"Das Wichtigste ist, dass ich einen Platz im Bundestag habe.","Nejwažnjejše jo, až mam městno w zwězkowem sejmje."
"In Zukunft wird es möglich sein, einzelne Schwerpunkte nach Bedarf zu kombinieren.","Pśichodnje buźo toś móžno, jadnotliwe śěžyšća pó pótrjebje kombinować."
"Dann wurde diese Stange auf 1,05m eingestellt. ","Pótom jo se toś ta žerź na 1,05 m nastajiła. "
"Die Regierungschefs wollen ein regionales Sicherheitsnetz, welches die Verluste begrenzt.","Kněžaŕstwowe šefy kśě regionalnu seś wěstosći, kótaraž tšuśa wobgranicujo."
Was heißt das in der Konsequenz für das Sprachzentrum?,Co groni to w konsekwency za rěcny centrum?
In der Ebersbacher Kirche steht eine große Orgel.,W Habrachćičańskej cerkwi stoje wjelike orgele.
Zum Festakt hatte die den Christdemokraten nahe stehende Konrad-Adenauer-Stiftung eingeladen.,Na swěźeńske zarědowanje jo kśesćijańskim demokratam pśichylona Konrada Adenauerowa załožba pśepšosyła.
Rückkehrend nach Deutschland hat sie ihre Ausbildung zur Hebamme beendet.,Pó wrośenju do Nimskeje jo wukubłanje k babce zakóńcyła.
Über die Angelegenheit werden wir die Leser unseres Abendblattes in den nächsten Tagen eingehender informieren.,Wó wěcy cytarjow našogo wjacornika w pśiducych dnjach nadrobnje informěrujomy.
Die Abteilung Kulturwissenschaften hat eine Konzeption für den Strukturwandel erarbeitet.,Wótrěd kulturne wědomnosći jo koncepciju za strukturnu změnu wuźěłał.
• Gegebenenfalls fordert die zuständige Behörde weitere Dokumente an.,• Ewentuelnje  buźo wót was dalšne dokumenty pominaś.
Der Tag ist schon aus der dunklen Nacht herausgetreten.,Źeń jo južo ze śamneje nocy wustupił.
Seitdem reiten die Crostwitzer mit zwei Fahnenpaaren an der Spitze.,Wót togo casa jěchaju chrosćańske z dwójnymi chórgojami na cole.
Dafür brauchst du lange Haare.,Za to trjebaš dłujke włose.
Umso schwieriger aber ist die Entscheidung für die Betroffenen in der aktuellen Situation.,Śim śěžčejšy pak jo rozsud za pótrjefjonych w aktualnem połoženju.
"VL-MLUK-Abteilung3@MLUK.Brandenburg.de  , +49 331 866 7601 (Sekretariat)","VL-MLUK-Abteilung3@MLUK.Brandenburg.de  , +49 331 866 7601 (sekretariat)"
◦ Aufbaukurs Klasse 1     30 Minuten,◦ natwaŕny kurs klasa 1         30 minutow
Mit den Dörfern wurde Identität abgebaggert.,Ze jsu su identitu wotbragowali.
Auch dieses ist gerade jetzt sehr aktuell.,Teke wóna jo rowno něnto wjelgin aktualna.
"Was denkst du, wie viele es sind?","Co sebje mysliš, wjele jich jo?"
Dort siehst du kleine Geldstücke.,Tam wuglědajoš małe pjenjeze.
% (addonName) s – Besorgen Sie sich das Wörterbuch für das Visa Firefox (% (locale) s),%(addonName)s – Wobstarajśo se słownik za ﻿ Firefox (%(locale)s)
Er ist derzeit Leiter der Hauptpersonalabteilung in Dresden.,Wón jo tuchylu wjednik głownego personalnego wótrěda w Drježdźanach.
Die scheinbar fehlende Gesetzlichkeit für demokratische Wahlen der Sorben lehnt er ab.,Pózdatnje póbrachujucu kazni za demokratiske wólby Serbow wón wótpokazujo.
"Juristen, Pfarrer und Lehrer übernehmen wichtige Funktionen.","Juristy, fararje a wucabniki pśewzeju wažne funkcije."
•  Führerschein,•  jězdźaŕska dowólnosć
"Der Streik beginnt vor der Luther-Kirche, unweit des Hauptbahnhofes.","Štrajk zachopijo se pśed Luteroweju cerkwju, njedaloko głownego dwórnišća."
"Sie müssen den Antrag stellen, bevor Sie die selbständige Tätigkeit aufnehmen. ","Wy musyśo póžedanje stajiś, pjerwjej nježli zachopijośo samostatnu źěłabnosć wugbaś. "
Das sorbische Magazin blickt schon auf einige wichtige Termine des neuen Jahres.,Serbski magacin źiwa južo na někotare wažne terminy nowego lěta.
Die Mehrheit hat über das Drawänopolabische bisher nichts gehört.,Wětšyna wó drjewjańskej połobšćinje až doněnta nic słyšała njejo.
"„Kommt, lasst uns über die Brücke zum Schloss fahren!“, ruft Alenka. ","„Pójźćo, pójěźomy pśez móst ku grodoju!“, woła Alenka. "
"Was denkst du, wohin diese Tür führt?","Co sebje mysliš, źo toś te źurja wjedu?"
"• Sechs Wochen ab dem Moment, in dem Sie von der Erbschaft erfahren, ","• Šesć tyźeni wót wokognuśa, we kótaremž wót derbstwa zgónijośo "
Die Übersicht wollen wir dann an die Touristiker verteilen.,Pśeglěd comy pótom turistikarjam pósćiś.
Die Schadźowanka ist jetzt schon wieder vorbei.,Schadowanka jo něnto južo zasej mimo.
Das sagte er gestern in Madrid am Rande der Weltklimakonferenz.,To jo gronił wón cora w Madriźe na kšomje swětoweje klimoweje konference.
In den Beeten guckten überall kleine grüne Enden aus der Erde., grědkach su wšuźi kukali małe zelene kóńce ze zemje.
