de,hsb
Im Dampfgarer wird das Gemüse schonend gegart.,W parjaku so zelenina šonujo wari.
"Wird dem jugoslawischen Volk die Freiheit zugestanden, sein Schicksal selbst zu bestimmen?","Připózna so juhosłowjanskemu ludej swoboda, swój wosud sam postajić?"
"Er drückt seinen Wunsch aus, den Sorben zu dienen und ihre Opfer zu würdigen.","Wón zwuraznja swoje přeće, Serbam słužić a jich wopory připóznawać."
Verantwortlich dafür ist der diensthabende Erzieher.,Zamołwity za to je słužbuwukonjacy kubłar.
1541 Johannes Calvin entwirft eine neue Kirchenordnung für die Stadt Genf.,1541 Johannes Calvin naćisnje nowy cyrkwinski porjad za město Genf.
Die Erasmus-Studenten bleiben oft mit anderen Studenten desselben Landes zusammen.,Erasmusowi studenća wostanu husto z druhimi studentami samsneho kraja hromadźe.
Man muss nicht alle Fehler der Vergangenheit wiederholen.,Njedyrbja so wšitke zmylki zašłosće wospjetować.
Wen nannte man auch den “wandernden sorbischen Wissenschaftler”?,Koho mjenowachu tež “pućowaceho serbskeho wědomostnika”?
"Künstler malten, durchaus avantgardistisch, marschierende Soldaten und martialisches Kriegsgerät.","Wuměłcy molowachu, cyle awantgardistisce, pochodowacych wojakow a marcialiski wójnski aparat."
Alles Gute von deinen ehemaligen Klassenkameraden!,Wšitko dobre wot twojich něhdyšich rjadowniskich towaršow!
Hier ist auf der Internetseite des Verbandes die Tagesordnung zugänglich.,Tule je na internetnej stronje zwjazka dnjowy porjady přistupny.
In welches Konzentrationslager wurde Alois Andritzki von den Nationalsozialisten gebracht?,Do kotreho koncentraciskeho lěhwa dowjezechu nacionalsocialisća Alojsa Andrickeho?
Tag der deutschen Einheit: Feierstunde im Sächsischen Landtag in Dresden.,Dźeń němskeje jednoty: swjatočnosć w Sakskim krajnym sejmje w Drježdźanach.
Kaputte Möbel kannst du auf dem Sperrmüll entsorgen.,Skóncowane meble móžeš na šepjerjatych wotpadkach wotstronić.
Im A-Horizont kommt es zur Anreicherung von Eisen und Aluminiumoxiden (Laterisierung).,W A-horiconće so železowe a aluminijowe oksidy nabohaćeja (laterizacija).
Das Glück definieren viele Psychologen kurz als subjektives Wohlgefühl.,Zbožo definuje mnoho psychologow skrótka jako subjektiwna radosć.
»Wir sollten dringend ein europäisches Gegengewicht zu den US-amerikanischen Sprachmodellen schaffen.«,»My měli nuznje europske wurunanje přećiwo US-ameriskim rěčnym modelam wutworić.«
"Das teilte die Föderalistische Union Europäischer Nationalitäten mit, die den Wettbewerb organisiert.","To zdźěli Federalistiska unija europskich narodnosćow, kotraž wubědźowanje organizuje."
Mit diesen Übungen wiederholen und stärken wir Sorbisch!,Z tutymi zwučowanjemi wospjetujemy a skrućimy serbšćinu!
Sie hat beim Gemeindeamt geklagt.,Ty sy na gmejnskim zarjedźe skoržiła.
Sie waren mehr als nur die Region von Paris.,Woni běchu wjace hač jenož region Parisa.
Die Pharmabranche lässt viele ihrer Wirkstoffe in Asien herstellen.,Farmacijowa branša da mnohe swojich skutkowacych maćiznow w Aziji zhotowić.
"Also kommt es zum Zerfall der Regeln, Gesetze und politischen Filterprozesse.","Potajkim dóńdźe ka rozpadej prawidłow, zakonjow a politiskich filtrowych procesow."
Meine Mutter wird im September das fünfundfünfzigste Lebensjahr vollenden.,Moja mać dokónči w septembrje pjećapjećdźesate žiwjenske lěto.
"Lieber Achim, ich wollte dir doch den Kontakt von der städtischen Bibliothek geben.","Luby Achimje, chcych ći tola kontakt na měšćansku biblioteku dać."
"Der christliche Friedhof ist aufs Jenseits, vorzugsweise aufs Paradies ausgerichtet.","Křesćanski kěrchow je na wonu stronu, wosebje na paradiz wusměrjeny."
Die Hälfte des Getreides wird während des Sommermonsuns produziert.,Połojca žita so za čas lěćneho monsuna produkuje.
"Notlandung aktiviert, sagte der Computer und schaltete sich dann aus.","Nuzowe přizemjenje aktiwěrowane, praji kompjuter a so potom hasny."
Bei ihrer Arbeit haben sie viel Kundenkontakt.,Při swojim dźěle maja woni wjele kontakta k wužiwarjam.
Aber auch spezifische Veränderungen zeigen sich.,Ale tež specifiske změny so pokazuja.
Die sächsische Polizei warnt vor einer Betrugsmasche mit vermeintlichen Autopannen.,Sakska policija warnuje před wobšudniskej mašu z pozdatnymi awtowymi panami.
Schaut euch dabei um und lasst den Raum auf euch wirken.,Rozhladujće so při tym a dajće rumnosć na so skutkować.
Platz für alle Menschen?,Městno za wšěch ludźi?
Der Entlastungsbetrag steht auch Pflegebedürftigen ab Pflegegrad 2 zur Verfügung.,Wotćeženska suma steji k dispoziciji tež hladanja potrěbnym wot hladanskeho stopnja 2.
Die Bank verzinst die Ersparnisse mit 3 %.,Banka zadanjuje nalutowanki z 3 %.
Wir haben es untersucht – und waren überrascht vom Ergebnis.,Smy to přepytowali – a běchmy překwapjeni wot wuslědka.
"Die Hochkircher Gemeinde bilden die Dörfer Wawitz, Breitendorf, Wuischke und Sornßig.","Bukečansku gmejnu stworja wjeski Wawicy, Wujězd, Wuježk a Žornosyki."
Ich schicke sie Ihnen als Anlage.,Sćelu ju Wam jako přiłohu.
"Besonders Dir Jurij Genesung, Zuversicht und Zufriedenheit.","Wosebje Tebi Jurjo wustrowjenje, nadźiju a spokojnosć."
"Die Kickls sind gekommen, um zu bleiben.","Kicklecy su přišli, zo bychu wostali."
Man kann sich über Elon Musk und seine Eskapaden empören.,Móžeš so přez Elona Muska a jeho eskapady rozhorjeć.
"Geplant sind ein Badebereich mit Imbissstand, eine Pension und ein Zeltplatz.","Planowane su kupanišćo ze zakuskowym předawanišćom, pensija a stanowanišćo."
"Licht ist dein Kleid, das du anhast.","Swětłosć je twoja drasta, kotruž maš woblečenu."
"Die stark automatisierte Produktion erlaubt es, dass sie preisgünstig angeboten werden.","Sylnje awtomatizowana produkcija dowola, zo so wone tunjo poskićeja."
Das liegt wirklich weder am Westen noch an der Ukraine.,To woprawdźe ani na zapadźe ani na Ukrainje njezaleži.
Die sogenannte Schau-Box ist seit dem vergangenen Freitag zugänglich.,Tak mjenowana hladanska boksa je wot zašłeho pjatka přistupna.
"Ein komplettes Chaos war das, erzählt Andersen.","Kompletny chaos to bě, powěda Andersen."
Im vergangenen Jahr hat der Konzern einen milliardenschweren Auftrag erhalten.,Loni je koncern miliardy ćežki nadawk dóstał.
"Hanna, Nashi und Gabriel sind Freunde.","Hana, Nashi a Gabriel su přećeljo."
Das Buch verfasst hatte der überaus engagierte Theologiestudent Korla Awgust Jenč.,Knihu spisał bě přewšo angažowany student teologije Korla Awgust Jenč.
"Die Symptome sind lokale Schmerzen, Rötung und Schwellung.","Symptomy su lokalne bolosće, čerwjenjenje a zapuchłosć."
"Ein schöner Baum, das ist ein Birnbaum.","Rjany štom, to je krušwina."
Der Mannschaft angeschlossen hatte sich Tobias Kraulich (Abwehrspieler).,Mustwu so přizamknył bě so Tobias Kraullich (škitar).
Nach Afghanistan wurden im vergangenen August 28 (!) Personen abgeschoben.,Do Afghanistana su loni w awgusće 28 (!) wosobow policajsce wupokazali.
Den deutschen Text hatten wir als erstes.,Tón němski tekst smy jako prěnje měli.
Des Weiteren können Tumore in Gehirnnähe die Verursacher sein.,Dale móža tumory w bliskosći mozow zawinowarjo być.
Wir haben gute Beziehungen zu den Nachbarn.,Mamy dobre styki ze susodami.
Entlastung durch Leistungszuschlag.,Wolóženje přez přiražku k pjenježnej podpěrje.
Warum wir auch Ergebnisse für ältere Kühlgeräte zeigen.,Čehodla tež wuslědki za starše chłódźaki pokazamy.
"In Frankfurt gibt es einen Brunnen, der „Gerechtigkeitsbrunnen“ heißt.","We Frankfurće maja studnju, kotraž rěka „studnja sprawnosće“."
"Erstens, der Ringmuskel erschlafft und kann die Speiseröhre nicht mehr richtig schließen.","Sprěnja, wobručojty muskl zesłabi a njemóže jědnicu hižo prawje zawrěć."
"Ich habe große Zweifel, dass Tom und Maria Französisch können.","Dwěluju jara, zo móžetaj Tom a Marija francosce."
Zuvor gehörte Ralbitz der Crostwitzer Pfarrgemeinde an.,Do toho přisłušachu Ralbicy Chróšćanskej wosadźe.
"Hast du gehört, was sie sich erzählt haben?","Sy słyšał, što su sej wojacy powědali?"
Scharf und unmissverständlich: „Nachbarn bereichern einander durch Kultur.“,Razne a jasne: „Susodźa wobohaćeja so mjez sobu přez kulturu.“
Im Jahr 2000 wurden Krankenhaus und Geburtenstation geschlossen.,W lěće 2000 zawrěštej so chorownja a porodowa stacija.
"Kein freundliches, kein mitfühlendes Wort für den Mann.","Žane přećelne, žane čućiwe słowo za muža."
Dies lässt Schlimmes für den italienischen Vorsitz erahnen.,To da złe za italske předsydstwo we wobrysach spóznać.
Der Sturm steckte die Hände in die Tasche und sagte ganz klar.,Wichor tykny ruce do zaka a praji cyle jasnje.
"Wenn der Motor des einmal Autos ausgeht, springt er meistens nicht wieder an.","Hdyž so motor awta jónu hasnje, zwjetša zaso njezaskoči."
Wann übersetzte Michał Frencel das Neue Testament ins Obersorbische?,Hdy přełoži Michał Frencel Nowy testament do hornjoserbšćiny?
Als einziger Kritiker wurde namentlich Bjarnat Nowak genannt.,Jako jenički kritikar bě z mjenom Bjarnat Nowak podaty.
"Haben ihr schon die Anwohner um die Sporthalle herum befragt, wollte er wissen.","Sće so hižo wokoło sportownje bydlacych woprašeli, chcyše wón wědźeć."
"Rohstoffe und Erzeugnisse sind z.B. Rohkohle, Mineralien und Kokskohle.","Surowizny a wudźěłki su na př. surowe wuhlo, mineralije a koksowe wuhlo."
Mit farbigen Fähnchen haben Fachleute die Dimensionen der Schanze gekennzeichnet.,Z barbojtymi chorhojčkami su fachowcy dimensije hrodźišća woznamjenili.
Längst werden die Wörter Comics und Schmuddelecke nicht mehr in einem Atemzug genannt.,Dawno so słowje comicsy a mazany róžk hižo runočasnje njemjenujetej.
Meine Mutter hat mir als Kind beigebracht Osechi zu machen.,Moja mać je mje jako dźěćo nawučiła osechi činić.
"Stell dir vor, du kochst Wasser, und der heiße Wasserdampf steigt auf.","Předstaj sej, zo wariš wodu, a horca para stupa."
Kurz nach sechs Uhr abends ist es dann schon wieder dunkel …,Krótko po šesćich wječor je potom hižo zaso ćma …
"Was aber auf der Tanzveranstaltung passiert, werden wir nicht verraten.",Što pak so na rejach stanje njepřeradźimy.
"Wenn das Freundebuch bei euch ist, dann gebt es gerne mit.","Jeli přećelska kniha pola was je, potom rady sobu dajće."
Diese Blöcke würden wir bei Gelegenheit gern zurücknehmen.,Tute bloki bychmy ze składnosću rady wróćo wzali.
Den Dialog wollen beide trotz bestehender Meinungsverschiedenheiten weiter pflegen.,Dialog chcetej najebać wobstejace njepřezjednosće měnjenjow dale pěstować.
Dann zeigt mir den Ausgang.,Tuž mi wuchod pokažće.
"Nun, nach neuer Nummerierung in der Dresdener Straße 45.","Nětko, po nowym čisłowanju na Drježdźanskej dróze 45."
Heute ist Alkohol weltweit verbreitet und ein Bestandteil vieler Kulturen.,Dźensa je alkohol po cyłym swěće rozšěrjeny a wobstatk mnohich kulturow.
"Nur die ersten und besten haben Erfolg, werden reich oder berühmt.","Jenož prěnje a najlěpše su wuspěšni, zbohatnu a dobudu sławu."
Die Maya sind eine der geheimnisvollsten Hochkulturen der Menschheitsgeschichte.,Maya su jedna z najpotajnosćiwišich wysokich kulturow stawiznow čłowjestwa.
Die zweite Gruppe bilden Bartenwale.,Druhu skupinu tworja bartowe wjelryby.
Gebraucht gibt es höchstens noch 100 Euro.,Trjebane dawaja maksimalnje hišće 100 eurow.
Woher stammt Bischof Jakub Wóski von Bärenstamm?,Zwotkel pochadźa biskop Jakub Wóski z Bärenstamma?
Ich kann den Begriff Hellenismus erklären und Beispiele für den Kulturaustausch nennen.,Móžu wopřijeće helenizm rozjasnić a přikłady za wuměnu kulturow mjenować.
Die Gefäße mit den einbalsamierten Organen des Königs stellten sie neben den Sarkophag.,Sudobja z balsamowanymi organami krala stajichu pódla sarkofaga.
"„Das nennt man Aggregatzustände“, erklärt Nashi.","„To mjenujemy agregatne stawy“, wuswětla Nashi."
Ringsherum war ein Graben und in der Mitte war eine runde Siedlungsfläche.,Dokoławokoło bě hrjebja a srjedźa bě kulowata sydlenska přestrjeń.
"Wir können diese nur verstehen, wenn wir die Flugschrift systematisch entschlüsseln.","Móžemy tute jenož zrozumić, hdyž lětak systematisce rozklučujemy."
"Wenn du ihm nicht hilfst, wird er das nicht schaffen.","Hdyž ty jemu njepomhaš, njedocpěje to."
Der Königsmantel ist aus kostbaren Pelz gearbeitet.,Kralowski płašć je z drohotneho kožucha zhotowjeny.
"Wir haben ein zu schwaches Wachstum, als dass der Balkan aufholen könnte.","Mamy přesłaby rozrost, hač zo by Balkan nachwatać móhł."
Der braucht kein Moos zum Streicheln.,Njetrjeba moch k majkanju.
Mit der Großschriftstellerei hatte er aber nichts im Sinn.,Wot wulkeho spisowaćelstwa pak nochcyše ničo wědźeć.
"Wie Sie heute Vormittag sagten, kommt eine Umbesetzung nicht infrage.","Kaž sće dźensa dopołdnja prajił, njepřińdźe přewobsadźenje do prašenja."
Er war ein bedeutender deutscher Maler des Expressionismus.,Wón bě wuznamny němski moler ekspresionizma.
"Und er, der Comedian, verfügte wie kein anderer über eine besondere Waffe: das Wort.","A wón, komikar, měješe kaž žadyn druhi wosebitu bróń: słowo."
Auch Hörverständnis fällt vielen schwer.,Tež zrozumjace słuchanje mnohim ćežko padnje.
Seine erste konkrete Aufgabe ist eine interaktive Konferenz zur Digitalisierung zu organisieren.,Jeho prěni konkretny nadawk je interaktiwnu konferencu wo digitalizaciji organizować.
Zu welcher katholischen Pfarrgemeinde gehört das Dorf Sdier?,Do kotreje katolskeje wosady słuša wjes Zdźěr?
Staubbox oder Staubbeutel?,Prochowa boksa abo próšnik?
"Lieber nicht, denn es wäre am Ende gar nicht realistisch.","Radšo nic, wšako njeby to na kóncu scyła realistiske było."
Im Sprachgebrauch nannte man es nur „Bärs süße Ecke“.,W rěčnym wužiwanju mjenowachu jón jenož „Bärowy słódki róžk“.
Außerdem war er kulturell von Beginn an reaktionär.,Nimo toho bě kulturnje wot wšeho spočatka reakcionarny.
"Vergiss nicht, das heute zu erledigen, bevor du heimgehst.","Njezabudź, to dźensa spjelnić, prjedy hač domoj dźeš."
"Es sei richtig, sich um andere Menschen zu sorgen.","Je prawje, so wo druhich ludźi starosćić."
Die Teilnahme ist kostenlos.,Wobdźělenje je darmotne.
Seiner Unerschrockenheit wegen gaben ihm seine Genossen den Spitznamen „der Sturm“.,Jeho njebojaznosće dla dachu jemu jeho towaršojo přimjeno „wichor“.
"Nun rennen Sie, sonst kommen Sie zu spät!","Nětko ćěrće, hewak so Wy zapozdźiće!"
Bisher hatten wir nur Kontakt per Mail.,Dotal mějachmoj jenož kontakt přez mejlku.
Da wird die Diskussion an diesem Tag wohl ziemlich lange dauern.,To drje budźe diskusija na tutym dnju chětro dołho trać.
"Wenn wir beide wieder bei euch beiden sind, zeigen wir euch die Bilder.","Hdyž smój zaso pola waju, pokazamoj wamaj wobrazy."
Tonminerale entstehen im Prozess der Bodenbildung.,Běłohlinowe minerale nastawaja w procesu tworjenja pódy.
Er wohnt mit seiner Ex-Frau unter einem Dach.,Wón bydli ze swojej bywšej žonu pod samsnej třěchu.
Unter diesem QR-Code finden Sie alle aktuellen Dokumente zum Download.,Pod tutym QR-codom namakaće wšitke aktualne dokumenty za download.
Das knusprige Cordon bleu war mit hochwertigem Käse und Schinken gefüllt.,Chrymstaty cordon bleu bě z wysokohódnotnym twarožkom a šunku pjelnjeny.
Die große Nord-Süd-Ausdehnung Japans mit 2400 km ist eine Ursache.,Wulke sewjero-južne rozpřestrěće Japanskeje z 2400 km je jedna přičina.
Für die Party wurden Seelachsfilethappen auf kleinen Brotscheiben angerichtet.,Za party buchu filejowe kuski mórskeho łososa na małych pomazkach připrawjene.
Das Burgtheater ist der zweite Standort des Deutsch-Sorbischen Volkstheaters Bautzen.,Dźiwadło na Hrodźe je druhe stejnišćo Němsko-Serbskeho ludoweho dźiwadła w Budyšinje.
Ich führte ihn in die Spielecke zu den anderen Kindern.,Wjedźech jeho do hrajkanskeho róžka k tamnym dźěćom.
Zöliakie betrifft weltweit etwa 1 % der Bevölkerung.,Celiakija potrjechi po cyłym swěće něhdźe 1 % wobydlerstwa.
"Sind die Sorben Opfer des Kolonialismus, haben auch die Sorben gelitten?","Su Serbja wopor kolonializma, su tež Serbja ćerpjeli?"
Suchen Sie im Vorfeld Fachliteratur zum Thema aus.,Wupytajće w přihotach fachowu literaturu wo temje.
Könnten sie mir etwas Kaltes zu trinken geben?,Móhli woni mje z něčim zymnym napojić?
"Und was kann grün sein, zum Beispiel Chlorophyll und Küsse?","A što móže zelene być, na přikład chlorofyl a hubki?"
"Wie wäre es, wenn ich dieses Jahr wieder bei euch einziehe?","Kajke by było, hdyž lětsa zaso k wam zaćahnu?"
Das CDU-Ergebnis der Bundestagswahl enthält jedoch ein klares Urteil.,Wuslědk CDU wólbow do Zwjazkoweho sejma pak wobsahuje jasny wusud.
